t,psi
198.0,-2.718269407941711e-07
198.5,-3.2771328051378594e-07
199.0,-3.668758460409801e-07
199.5,-3.8936550164549446e-07
200.0,-3.9581570477622675e-07
200.5,-3.8737067841886555e-07
201.0,-3.6560170917608046e-07
201.5,-3.3241551871103763e-07
202.0,-2.899586170539999e-07
202.5,-2.4052133682490915e-07
203.0,-1.86444965077288e-07
203.5,-1.3003497095129178e-07
204.0,-7.348287457128401e-08
204.5,-1.8798766202211603e-08
205.0,3.2244046051023335e-08
205.5,7.815135018065162e-08
206.0,1.1773691818297653e-07
206.5,1.501380908692275e-07
207.0,1.7481864900908562e-07
207.5,1.9155994131350571e-07
208.0,2.004415871677175e-07
208.5,2.0181331515570346e-07
209.0,1.9625968694097955e-07
209.5,1.8455954711213512e-07
210.0,1.676420811244802e-07
210.5,1.4654131400112596e-07
211.0,1.2235078676710679e-07
211.5,9.617998648923008e-08
212.0,6.911392143949804e-08
212.5,4.217699352103342e-08
213.0,1.6302076500176155e-08
213.5,-7.694554472550692e-09
214.0,-2.9132057963703994e-08
214.5,-4.747749051161079e-08
215.0,-6.235200112218827e-08
215.5,-7.353107628539887e-08
216.0,-8.093932854792643e-08
216.5,-8.464047608116732e-08
217.0,-8.482327709513734e-08
217.5,-8.178425441024223e-08
218.0,-7.590809853062197e-08
218.5,-6.76466263522331e-08
219.0,-5.749716653919691e-08
219.5,-4.5981182786065427e-08
220.0,-3.3623861442829846e-08
220.5,-2.0935301042132284e-08
221.0,-8.39383681878221e-09
221.5,3.5681016186254246e-09
222.0,1.457531413411492e-08
222.5,2.4318176021429606e-08
223.0,3.255796342959577e-08
223.5,3.912923405871785e-08
224.0,4.393941906123315e-08
224.5,4.696588978603915e-08
225.0,4.825080462195925e-08
225.5,4.7894120134752166e-08
226.0,4.604515484803718e-08
226.5,4.28931339056784e-08
227.0,3.865713424045642e-08
227.5,3.357582942693516e-08
228.0,2.7897421278575475e-08
228.5,2.1870086499306964e-08
229.0,1.573324074463056e-08
229.5,9.70984993569419e-09
230.0,3.999979455880153e-09
230.5,-1.2243078700791119e-09
231.0,-5.822631449997388e-09
231.5,-9.688540143002381e-09
232.0,-1.2750381779067021e-08
232.5,-1.497086645586668e-08
233.0,-1.63454600752672e-08
233.5,-1.6899760872081077e-08
234.0,-1.66860368643414e-08
234.5,-1.5779120516310882e-08
235.0,-1.4271853789332823e-08
235.5,-1.2270291438499759e-08
236.0,-9.888843232426398e-09
236.5,-7.245534763577849e-09
237.0,-4.45754711618586e-09
237.5,-1.6371602848356333e-09
238.0,1.111780771851599e-09
238.5,3.6968072497739714e-09
239.0,6.039111178247648e-09
239.5,8.075164296978207e-09
240.0,9.7576498820021e-09
240.5,1.1055754320777628e-08
241.0,1.1954846491652073e-08
241.5,1.2455618448676482e-08
242.0,1.2572755440793136e-08
242.5,1.2333231728934056e-08
243.0,1.1774313181128348e-08
243.5,1.094137239314809e-08
244.0,9.885597487928885e-09
244.5,8.66169900739176e-09
245.0,7.325680340016157e-09
245.5,5.932756911172752e-09
246.0,4.53547835206803e-09
246.5,3.1821031268021347e-09
247.0,1.915265296425264e-09
247.5,7.709490586845115e-10
248.0,-2.222122381459329e-10
248.5,-1.043320128116855e-09
249.0,-1.6792900413329396e-09
249.5,-2.1246482499838857e-09
250.0,-2.3810787859946906e-09
250.5,-2.456753897812911e-09
251.0,-2.36549782209134e-09
251.5,-2.1258178397935435e-09
252.0,-1.759856306802438e-09
252.5,-1.2923014639817564e-09
253.0,-7.49302951751326e-10
253.5,-1.5742488227605199e-10
254.0,4.573217624792628e-10
254.5,1.0703490130869868e-09
255.0,1.6592354522907426e-09
255.5,2.2043336773339748e-09
256.0,2.689221934632345e-09
256.5,3.1010122489826366e-09
257.0,3.4305018206328043e-09
257.5,3.6721815472157085e-09
258.0,3.824119006951875e-09
258.5,3.887719420134105e-09
259.0,3.867395393286039e-09
259.5,3.7701518886986974e-09
260.0,3.6051215361660707e-09
260.5,3.383061059528213e-09
261.0,3.115835150830029e-09
261.5,2.8159019773571756e-09
262.0,2.4958261279831082e-09
262.5,2.1678255623221793e-09
263.0,1.8433712637804948e-09
263.5,1.5328465723452208e-09
264.0,1.2452735842241591e-09
264.5,9.881113680844533e-10
265.0,7.671250939981058e-10
265.5,5.863272123946719e-10
266.0,4.4798554620503897e-10
266.5,3.5269065456057506e-10
267.0,2.9947778048364606e-10
267.5,2.859931736088657e-10
268.0,3.086939423480764e-10
268.5,3.630756731266804e-10
269.0,4.439101023111296e-10
